,name,params,keras_size_bytes,tflite_size_bytes,test_accuracy,keras_ms,tflite_ms
0,fc_baseline,68270,295224,276096,0.9699000120162964,29.74480390548706,0.0034224987030029297
1,cnn_baseline,422026,1729576,1691100,0.9811000227928162,37.386595010757446,0.0871729850769043
2,cnn_optimized,106058,465472,428080,0.9878000020980835,45.91909170150757,0.029658079147338867
3,cnn_opt_adam,422026,1729600,1691100,0.9876000285148621,35.45638561248779,0.08748054504394531
4,cnn_opt_sgd,422026,1729608,1691100,0.9873999953269958,38.540118932724,0.0876617431640625
5,cnn_opt_rmsprop,422026,1729576,1691104,0.9869999885559082,46.036585569381714,0.08607625961303711
6,cnn_act_relu,422026,1729600,1691132,0.9883999824523926,43.892786502838135,0.0974583625793457
7,cnn_act_elu,422026,1729600,1691132,0.9765999913215637,45.515761375427246,0.09688138961791992
8,cnn_act_swish,422026,1729600,1691132,0.9848999977111816,44.70736384391785,0.09239912033081055
9,cnn_epochs_5,422026,1729600,1691136,0.9847000241279602,49.77911710739136,0.09473085403442383
10,cnn_epochs_10,422026,1729608,1691136,0.9861999750137329,46.141568422317505,0.0933372974395752
11,cnn_epochs_20,422026,1729608,1691136,0.9876999855041504,44.31276559829712,0.09720087051391602
12,cnn_lr_0.001,422026,1729608,1691136,0.9900000095367432,44.669528007507324,0.09649276733398438
13,cnn_lr_0.01,422026,1729608,1691136,0.9803000092506409,44.1568660736084,0.096282958984375
14,cnn_lr_0.05,422026,1729608,1691136,0.9750999808311462,45.117506980895996,0.09214639663696289
15,squeezenet_small,3514,61640,19576,0.11349999904632568,44.89867806434631,0.06793498992919922
16,mobilenet_v2,2270794,9446928,8912024,0.8899999856948853,40.0983989238739,0.21915555000305176
17,mcunet_proxy,26698,133480,110736,0.9840999841690063,34.71259593963623,0.016275644302368164
